temperature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name
21.48,43.69,41.22,sandy,oil seeds,13,3,10,urea
28.56,69.25,43.73,red,barley,34,0,3,20-20
24.78,56.42,25.51,clayey,sugarcane,14,13,10,17-17-17
28.78,60.98,46.86,clayey,millets,18,1,13,20-20
25.83,42.5,60.32,clayey,cotton,7,3,5,28-28
21.27,59.98,35.59,red,paddy,9,1,37,10-26-26
27.79,46.46,33.4,black,ground nuts,13,0,38,10-26-26
36.34,67.59,43.01,clayey,oil seeds,40,0,0,dap
26.57,52.98,56.7,sandy,tobacco,3,7,32,20-20
27.78,57.1,42.64,black,barley,10,0,37,28-28
26.99,44.73,51.9,sandy,oil seeds,6,0,18,17-17-17
29.83,64.29,45.68,black,sugarcane,16,0,13,20-20
23.56,56.69,37.04,red,pulses,7,0,3,10-26-26
31.85,62.5,31.51,sandy,ground nuts,36,0,0,17-17-17
26.79,58.42,26.41,sandy,oil seeds,8,11,9,28-28
27.02,55.09,35.69,red,paddy,36,0,0,urea
25.4,59.23,35.65,clayey,paddy,38,1,0,20-20
28.2,47.14,48.34,black,tobacco,37,0,0,17-17-17
34.32,61.36,44.53,black,maize,11,11,11,dap
34.8,76.07,30.81,red,tobacco,7,0,38,28-28
33.52,65.3,40.12,clayey,ground nuts,9,14,16,20-20
29.16,51.25,37.86,red,wheat,17,3,15,urea
33.55,69.48,37.73,clayey,cotton,42,4,0,10-26-26
35.14,68.94,36.73,sandy,paddy,12,0,32,10-26-26
31.21,67.98,48.85,black,paddy,10,0,37,28-28
27.89,53.82,40.72,black,tobacco,14,0,45,urea
39.78,72.13,29.77,clayey,maize,7,2,41,28-28
33.64,62.64,37.52,red,sugarcane,9,0,42,20-20
26.29,44.72,37.75,clayey,pulses,17,0,36,20-20
27.42,62.2,57.15,sandy,millets,38,0,4,14-35-14
32.51,53.53,45.88,red,tobacco,36,0,2,28-28
33.57,54.09,68.48,black,sugarcane,8,9,26,28-28
30.06,57.82,29.93,sandy,paddy,38,0,0,urea
40,75.94,34.96,red,millets,12,2,10,28-28
21.36,46.46,35.37,clayey,cotton,23,1,21,dap
30.85,62.03,23.42,clayey,cotton,4,10,26,14-35-14
32.9,63.12,47.43,black,barley,15,16,20,14-35-14
29.42,72.78,42.89,clayey,sugarcane,39,2,0,20-20
38.27,63.65,41.45,clayey,ground nuts,12,4,35,28-28
25.08,61.53,34.32,loamy,tobacco,16,2,38,10-26-26
33.46,72.4,40.83,red,oil seeds,15,0,8,28-28
27.4,56.09,57.66,clayey,paddy,11,11,16,17-17-17
31.91,46.26,41.51,black,pulses,24,3,27,28-28
30.02,66.49,49.75,loamy,maize,10,0,13,17-17-17
26.05,51.23,34.11,loamy,maize,17,0,40,urea
38.11,67.76,40.16,loamy,tobacco,12,0,45,14-35-14
25.82,44.33,29.18,loamy,tobacco,10,4,37,urea
25.24,43.61,39.67,loamy,ground nuts,2,22,14,14-35-14
36.49,65.48,39.34,red,oil seeds,14,0,32,10-26-26
23.39,59.65,40.74,clayey,paddy,16,0,14,10-26-26
29.61,70.12,42.17,red,barley,14,15,13,14-35-14
33,55.09,52.37,black,pulses,17,0,37,urea
32.12,68.28,42.26,red,barley,8,17,20,14-35-14
33.34,73.86,48,clayey,ground nuts,7,4,29,10-26-26
29.17,64.55,46.56,sandy,barley,23,1,20,10-26-26
24.82,45.77,51.47,clayey,cotton,23,2,24,17-17-17
27.19,46.21,27.99,loamy,sugarcane,28,0,16,14-35-14
34.5,63.22,50.73,loamy,ground nuts,44,0,1,28-28
31.98,45.3,30.75,loamy,pulses,36,0,0,urea
31.31,58.21,49.13,clayey,oil seeds,8,20,21,20-20
31.7,73.98,42.06,loamy,pulses,7,9,31,urea
30.25,60.34,33.5,sandy,barley,27,1,28,20-20
38.47,55.14,50.1,red,ground nuts,13,0,41,20-20
35.84,62.15,67.16,sandy,millets,3,9,26,28-28
26.29,62.82,38.28,red,barley,8,14,16,20-20
35.77,67.17,42.53,black,maize,13,1,32,10-26-26
27.14,68.62,46.27,sandy,wheat,9,0,39,dap
32.99,70.55,34.22,loamy,paddy,23,0,20,14-35-14
33.14,50.64,55.05,loamy,maize,8,0,39,28-28
25.7,57.86,20,loamy,barley,10,0,38,dap
27.27,42.2,47.49,loamy,wheat,10,16,18,17-17-17
25.65,55.02,37.37,red,tobacco,41,3,2,17-17-17
28.48,55.48,25.55,loamy,maize,23,0,23,10-26-26
26.12,60.43,58.13,black,cotton,11,0,11,17-17-17
22.99,44.67,30.17,black,paddy,18,0,16,17-17-17
35.57,70.66,40.03,black,wheat,42,0,0,10-26-26
25.78,57.76,65.12,black,tobacco,13,0,40,28-28
38.93,72.28,67.64,red,cotton,25,0,24,dap
34.4,70.85,53.05,black,sugarcane,12,12,13,20-20
23.28,45.27,43.77,sandy,sugarcane,19,0,21,14-35-14
29.27,65.89,70,sandy,wheat,12,4,35,17-17-17
28.06,44.09,58.46,red,tobacco,10,10,16,10-26-26
29.55,60.62,45.99,sandy,barley,23,0,25,28-28
25.91,42.33,27.89,loamy,oil seeds,11,16,8,17-17-17
29.91,45.99,64.48,sandy,cotton,42,1,0,14-35-14
32.92,60.86,60.26,clayey,maize,37,1,0,dap
36.6,61.48,20,black,cotton,9,9,27,28-28
35.3,76.77,44.61,red,tobacco,8,0,42,dap
32.46,62.03,48,red,cotton,15,0,6,dap
31.52,57.93,68.2,clayey,maize,12,4,26,20-20
28.54,55.75,38.08,clayey,sugarcane,25,4,18,10-26-26
26.33,58.16,43.91,red,barley,10,11,22,urea
31.55,50.78,32.59,loamy,paddy,34,4,0,20-20
25.7,62.98,30.45,sandy,pulses,8,14,29,20-20
33.51,66.81,32.19,loamy,paddy,24,4,17,17-17-17
33.19,62.86,37.31,red,oil seeds,45,0,0,dap
24.07,54.47,28.69,loamy,pulses,9,0,11,14-35-14
37.03,73.51,35.21,loamy,tobacco,11,3,36,dap
29.52,56.55,31.92,clayey,cotton,5,11,33,20-20
20.55,42.03,63.54,black,barley,11,16,16,14-35-14
33.35,71.63,38.11,loamy,sugarcane,14,2,38,dap
30.33,51.05,33.36,clayey,cotton,13,0,5,dap
31.18,55.84,28.31,clayey,millets,43,4,2,28-28
37.84,66.91,57.7,sandy,oil seeds,45,0,0,urea
32.56,68.67,23.64,loamy,tobacco,42,0,0,dap
31.72,45.26,28.54,clayey,maize,35,0,2,17-17-17
31.1,45.98,25.78,black,ground nuts,39,0,2,28-28
29.8,59.73,35.64,red,barley,9,0,11,urea
33.62,63.24,36.1,clayey,tobacco,25,0,20,10-26-26
34.15,57.16,39.48,sandy,cotton,26,4,24,17-17-17
29.13,53.38,49.08,red,sugarcane,10,8,9,dap
30.83,57.02,57.45,loamy,barley,33,0,0,10-26-26
29.14,61.8,44.63,loamy,tobacco,6,16,9,10-26-26
26.79,61.62,45.64,sandy,ground nuts,6,14,17,20-20
21.49,46.99,40.82,sandy,cotton,3,20,17,17-17-17
35.36,56.86,36.82,loamy,millets,38,3,0,dap
25.98,56.09,45.29,sandy,tobacco,27,1,21,urea
25.86,45.62,35.68,red,barley,40,1,2,dap
29.91,60.03,58.5,clayey,cotton,44,0,2,17-17-17
27.33,55.62,31.28,clayey,pulses,39,0,0,dap
34.51,68.73,69.9,loamy,barley,14,12,11,14-35-14
32.14,71.89,41.21,loamy,pulses,9,9,17,14-35-14
34.01,63.87,51.24,clayey,wheat,19,3,20,dap
30.01,59.57,35.04,red,ground nuts,4,9,34,dap
35.19,65.14,22.12,black,ground nuts,6,2,28,10-26-26
28.81,54.94,41.6,black,barley,42,0,0,urea
30.77,55.44,46.67,clayey,paddy,1,5,32,28-28
32.43,56.6,64.19,red,wheat,14,10,35,17-17-17
34.68,50.94,55.43,black,oil seeds,13,0,43,17-17-17
24.83,59.19,31.4,clayey,paddy,40,0,3,17-17-17
28.86,73.5,29.53,black,sugarcane,41,3,0,28-28
29.84,65.34,35.1,sandy,barley,5,0,9,14-35-14
38.76,56.94,56.53,sandy,cotton,5,0,14,14-35-14
35.24,66.47,51.44,red,cotton,6,7,30,17-17-17
34.51,58.28,63.85,clayey,millets,10,2,38,20-20
23.93,60.03,29.73,black,millets,12,2,10,dap
28,58.95,32.66,red,pulses,19,0,33,17-17-17
25.02,45.57,38.91,black,tobacco,39,0,0,20-20
30.76,50.1,44.85,clayey,maize,31,2,4,urea
30.4,52.84,59.57,clayey,maize,12,8,13,urea
34.55,61.85,66.2,clayey,ground nuts,9,15,10,urea
23.54,47.71,27.92,red,barley,13,9,32,urea
29.87,52.38,22.8,black,pulses,13,1,7,28-28
34.57,55.72,20,loamy,sugarcane,10,11,29,14-35-14
31.63,50.38,31.45,clayey,paddy,17,0,15,10-26-26
31.73,51.82,37.23,sandy,maize,38,1,3,dap
25.36,62.76,62.32,clayey,barley,3,6,33,14-35-14
36.64,57.29,24.08,black,oil seeds,3,8,26,10-26-26
32.1,65.89,70,clayey,wheat,17,0,37,14-35-14
21.09,49.87,63.43,red,paddy,13,13,13,urea
36.17,73.15,60.09,black,cotton,42,4,2,17-17-17
38.68,76.72,57.16,red,tobacco,43,1,0,dap
29,70.73,43.4,loamy,oil seeds,17,19,13,urea
31.23,66.32,27.49,red,wheat,40,0,3,14-35-14
31.19,71.44,46.39,loamy,maize,9,12,17,17-17-17
29.35,61.82,63.95,sandy,pulses,38,1,0,28-28
27.41,56.77,45.73,clayey,sugarcane,12,4,31,28-28
32.63,66.83,49.59,red,cotton,8,0,13,28-28
34.33,58.34,39.98,sandy,cotton,26,0,23,17-17-17
26.71,51.41,32.41,clayey,tobacco,8,8,26,14-35-14
30.66,66.4,52.44,loamy,pulses,40,0,0,28-28
27.45,57.24,34.3,clayey,oil seeds,43,0,2,28-28
30.59,56.93,49.01,loamy,cotton,14,4,11,10-26-26
29.75,47.56,33.26,clayey,cotton,10,0,38,28-28
35.61,68.63,70,red,sugarcane,25,0,15,28-28
31.43,54.96,40.98,sandy,paddy,15,0,5,14-35-14
31.37,74.91,34.64,red,ground nuts,10,9,28,urea
28.38,51.28,61.42,sandy,sugarcane,37,2,3,20-20
31.44,70.97,62.81,clayey,paddy,18,0,39,17-17-17
39.45,73.14,24.99,sandy,maize,12,2,40,urea
24.78,50.29,39.4,black,millets,43,2,0,17-17-17
25.7,52.75,36.55,red,paddy,19,1,14,10-26-26
29.06,71.99,38.56,sandy,tobacco,8,14,18,dap
26.27,55.47,33.28,red,wheat,13,1,38,28-28
33.49,63.84,32.92,clayey,ground nuts,38,0,0,urea
34.92,58.53,27.98,clayey,cotton,12,0,37,dap
22.93,52.54,39.37,sandy,cotton,9,0,8,28-28
26.38,49.88,65.47,black,maize,32,1,1,17-17-17
34.28,68.8,43.11,loamy,cotton,9,7,23,14-35-14
35.49,70.58,34.23,clayey,maize,18,4,33,dap
32.6,53.68,28.87,clayey,pulses,5,12,25,14-35-14
38.65,67.93,70,loamy,millets,10,1,40,28-28
39.15,68.25,46.6,loamy,sugarcane,42,0,1,17-17-17
32.15,57.42,26.8,red,wheat,14,21,20,dap
32.8,61.46,58.5,sandy,wheat,7,9,29,14-35-14
39.01,65.01,46.91,clayey,pulses,43,4,0,28-28
32.04,64.28,62.11,black,barley,15,3,36,14-35-14
24.88,43.56,53.5,sandy,sugarcane,14,0,19,28-28
24.12,50.26,37.62,loamy,wheat,13,0,37,urea
27.71,53.42,37.98,black,maize,41,0,3,20-20
32.91,64.18,51.89,sandy,paddy,17,0,37,urea
37.05,69.22,44.58,black,sugarcane,11,20,20,17-17-17
30.03,65.12,38.84,sandy,millets,22,0,20,28-28
23.9,43.28,43.12,clayey,pulses,22,3,21,17-17-17
30.41,63.03,49.09,clayey,maize,6,8,30,10-26-26
29.86,50.94,70,sandy,sugarcane,12,0,32,28-28
37.46,61.25,31.69,clayey,tobacco,9,0,37,10-26-26
28.75,55.19,20,loamy,millets,3,4,34,17-17-17
24.86,58.35,61.89,red,wheat,14,0,38,17-17-17
27.63,58.09,46.23,black,paddy,22,3,20,dap
29.59,65.88,21.2,sandy,sugarcane,40,2,1,20-20
28.41,61.99,31.54,red,maize,11,0,13,17-17-17
24.22,59.75,30.07,black,ground nuts,16,3,42,20-20
37.05,66.11,38.47,black,pulses,4,5,28,dap
28.28,67.72,55.83,red,tobacco,12,4,9,dap
31.39,61.78,70,red,maize,14,15,12,10-26-26
28.51,55.93,40.33,red,cotton,17,0,27,20-20
29.88,64.22,20,clayey,oil seeds,7,7,32,14-35-14
25.28,50.64,66.87,red,pulses,10,0,11,14-35-14
36.27,74.55,57.03,sandy,cotton,11,2,35,urea
29.28,55.6,41.79,loamy,paddy,0,11,27,20-20
40,72.78,38.48,red,pulses,7,10,32,urea
25.08,45.08,31.07,clayey,sugarcane,5,23,14,14-35-14
29.35,67.05,31.67,black,cotton,24,3,19,dap
28.86,59.22,44.4,sandy,tobacco,24,0,22,28-28
27.1,55.35,36.61,black,sugarcane,25,0,15,28-28
28.09,50.46,25.38,sandy,barley,18,1,36,urea
28.96,54.32,35.97,sandy,barley,14,3,43,10-26-26
27.67,57.87,33.61,clayey,pulses,40,2,0,10-26-26
29.34,49.57,20.01,loamy,maize,9,18,19,17-17-17
28.57,50.93,44.78,red,maize,32,0,0,20-20
38.15,59.18,55.78,clayey,cotton,12,20,14,14-35-14
23.08,62.96,20,sandy,millets,4,14,25,14-35-14
37.11,70.83,56.74,clayey,cotton,3,8,30,dap
36.28,71.99,35.88,red,tobacco,41,3,3,20-20
33.3,61.33,50.98,black,pulses,20,0,23,dap
26.17,53.24,51.31,black,barley,27,0,20,dap
34.55,58.92,68.9,black,wheat,10,0,36,14-35-14
34.69,78.28,43.78,black,pulses,15,0,39,dap
29.02,67.93,55.54,clayey,pulses,16,4,8,dap
28.19,60.08,28.35,red,tobacco,35,0,0,28-28
38.69,61.57,53.46,black,cotton,6,4,26,urea
34.73,66.96,59.65,clayey,oil seeds,28,2,15,urea
25.55,62.37,41.64,loamy,cotton,36,0,0,28-28
31.75,58.98,56.2,clayey,pulses,32,0,0,urea
30.51,64.47,31.19,sandy,paddy,35,0,4,20-20
24.18,53.12,59.3,clayey,maize,8,3,5,10-26-26
30.65,47.72,37.49,clayey,maize,39,0,2,dap
29.91,59.7,54.67,clayey,tobacco,9,0,40,28-28
34.12,63.6,27.97,red,maize,26,0,21,dap
30.51,52.48,23.64,clayey,paddy,10,9,25,28-28
28.09,61.48,39.32,black,tobacco,39,0,0,28-28
24.12,53.65,35.22,sandy,ground nuts,37,0,0,10-26-26
33.21,64.79,31.54,clayey,sugarcane,3,0,17,20-20
36.7,62.62,24.01,red,barley,42,0,0,17-17-17
34.03,55.38,49.19,sandy,cotton,5,0,17,10-26-26
24.49,51.98,67.62,clayey,sugarcane,34,0,0,14-35-14
29.92,57.58,44.49,loamy,ground nuts,16,14,7,urea
33.42,65.41,63.33,black,maize,15,0,38,14-35-14
29.32,57.18,70,clayey,ground nuts,12,7,26,20-20
27.49,54.22,40.06,clayey,oil seeds,18,0,20,20-20
35.27,69.93,44.23,sandy,ground nuts,38,0,3,20-20
34.35,67.37,55.82,red,cotton,3,5,30,14-35-14
27.52,62.28,31.71,sandy,pulses,23,0,18,14-35-14
33.94,62.1,56.9,red,ground nuts,5,0,8,10-26-26
24.78,59.94,49.61,clayey,sugarcane,38,0,3,28-28
33.97,73.31,26.07,sandy,wheat,8,0,18,20-20
34.04,73,36.41,clayey,tobacco,6,23,23,20-20
29.03,51.28,59.83,clayey,millets,37,2,0,urea
24.13,65.79,35.41,red,wheat,14,0,36,urea
37.53,67.28,40.79,clayey,maize,27,0,23,14-35-14
27.94,59.27,46.39,black,cotton,33,1,0,10-26-26
26.2,66.49,58.35,black,tobacco,12,11,32,dap
30.71,58.51,42.79,sandy,maize,38,0,4,28-28
37.97,62.65,56.53,red,ground nuts,6,4,15,dap
35.46,70.84,62.84,black,maize,9,0,38,20-20
30.08,61.49,52.42,red,oil seeds,5,0,6,10-26-26
33.82,61.25,59.51,black,cotton,15,13,14,28-28
29.05,54.64,49.53,clayey,paddy,11,0,6,10-26-26
40,72.25,45.19,clayey,millets,16,0,36,dap
22.51,50.31,30.59,clayey,maize,17,12,10,dap
32.06,78.41,36.96,loamy,wheat,9,0,44,10-26-26
39.91,60.35,29.4,loamy,oil seeds,10,3,26,14-35-14
32.83,59.11,29.94,clayey,tobacco,10,0,42,17-17-17
28.99,56.86,47.2,red,sugarcane,19,0,22,dap
31.08,73.05,43.81,black,tobacco,4,6,33,14-35-14
36.75,71.25,31.9,sandy,paddy,10,3,38,17-17-17
29.59,64.77,26.04,red,paddy,40,0,0,17-17-17
29.95,61.65,70,loamy,sugarcane,9,5,31,20-20
28.74,51.47,58.63,clayey,maize,9,11,35,28-28
37.6,71.43,54.12,clayey,ground nuts,34,2,3,20-20
38.31,77.54,38.22,black,wheat,12,0,41,14-35-14
33.09,65.12,37.71,red,pulses,19,0,24,20-20
36.17,64.23,54.97,loamy,oil seeds,33,0,4,14-35-14
40,58.41,25.99,clayey,sugarcane,16,0,16,dap
23.4,62.09,20,clayey,millets,9,3,38,20-20
22.76,48.08,34.55,loamy,maize,37,4,0,urea
23.01,46.97,52.66,sandy,maize,8,1,11,14-35-14
36.87,74.71,25.27,sandy,barley,12,0,34,17-17-17
26.86,50.54,67.65,loamy,pulses,8,0,8,dap
30.79,62.82,29.74,black,barley,12,0,14,14-35-14
37.88,56.28,34.78,sandy,pulses,14,0,41,dap
33.59,73.86,52.09,sandy,oil seeds,24,0,19,17-17-17
24.23,40.87,63.97,black,oil seeds,14,8,13,20-20
29.22,68.58,68.54,clayey,pulses,5,12,28,10-26-26
34.83,74.84,38.55,clayey,barley,13,1,36,14-35-14
40,72.53,69.09,loamy,barley,19,0,44,10-26-26
32.53,66.27,24.96,red,sugarcane,24,0,22,14-35-14
34.05,57.39,35.01,loamy,millets,5,3,33,20-20
33.84,78.28,54.01,sandy,ground nuts,10,8,31,urea
26.13,59.47,53.78,black,paddy,6,0,6,urea
32.31,65.98,51.84,red,wheat,10,11,8,28-28
27.78,63.49,36.53,red,maize,19,0,13,10-26-26
30.03,59.76,24.55,sandy,barley,40,0,0,urea
32.22,56.23,20,red,oil seeds,8,6,28,urea
29.46,59.59,27.28,sandy,oil seeds,23,3,18,17-17-17
28.6,61.06,46.54,black,ground nuts,1,20,15,urea
36.31,72.79,46.6,sandy,barley,22,0,20,dap
25.53,60.96,23.48,black,pulses,32,0,0,14-35-14
32.69,55.03,46.23,black,cotton,26,0,14,28-28
30.11,57.34,25.96,loamy,pulses,44,0,0,10-26-26
27.71,61.57,28.73,loamy,sugarcane,14,18,12,17-17-17
32.34,57.71,24.9,loamy,maize,6,11,33,dap
38.2,60.72,31.82,sandy,tobacco,11,3,39,28-28
38.64,77.51,43,sandy,barley,40,4,0,dap
27.61,69.47,34.64,black,maize,6,0,8,urea
29.73,65.44,62.54,sandy,paddy,9,10,25,17-17-17
24.65,57.12,52.24,loamy,oil seeds,9,3,36,dap
24.61,59.11,55.45,clayey,oil seeds,7,0,6,dap
27.55,50.87,37.69,loamy,wheat,24,0,21,14-35-14
27.77,68.01,52.99,black,cotton,16,0,30,urea
31.08,59.06,47.05,sandy,tobacco,39,0,1,14-35-14
27.26,62.16,33.59,black,barley,11,8,25,28-28
24.69,55.52,22.39,clayey,ground nuts,13,1,44,14-35-14
33.35,65.13,26.44,clayey,wheat,37,0,0,14-35-14
33.4,49.71,50.01,clayey,sugarcane,25,4,20,20-20
32.29,62.66,37.32,clayey,barley,2,8,32,urea
23.48,58.98,66.26,clayey,oil seeds,32,0,0,urea
35.91,64.54,51.18,clayey,tobacco,38,0,0,urea
23.18,59.48,46.95,sandy,sugarcane,22,0,23,urea
37.6,61.35,36.62,red,barley,35,1,0,14-35-14
34.08,67.3,66.45,black,wheat,5,6,32,urea
38.16,64.57,44.12,sandy,cotton,6,5,27,10-26-26
34.31,75.92,40.55,clayey,cotton,8,10,27,20-20
28.13,62.39,53.4,loamy,cotton,15,0,8,14-35-14
25.04,66.1,46.92,clayey,pulses,4,13,25,17-17-17
35.22,56.07,66.76,red,tobacco,25,1,19,urea
33.39,58.29,46.97,black,wheat,12,4,5,urea
31.97,56.43,38.33,red,ground nuts,20,0,25,dap
29.39,52.92,44.26,red,sugarcane,14,0,11,10-26-26
28.22,63.09,31.79,loamy,oil seeds,41,1,4,10-26-26
28.99,57.8,41.7,black,wheat,33,0,1,dap
31.7,60.31,42.96,loamy,barley,17,0,22,20-20
28.82,62.02,40.63,clayey,maize,11,9,29,14-35-14
31.71,52.75,30.13,clayey,oil seeds,11,12,13,14-35-14
27.04,53.79,60.68,black,millets,10,12,31,dap
28.31,66.5,29.81,clayey,millets,18,0,27,20-20
27.83,55.13,30.2,loamy,wheat,27,2,19,14-35-14
30.04,58.87,38.82,clayey,paddy,2,17,12,28-28
35.85,70.43,52.65,black,wheat,6,0,15,20-20
32.69,55.16,54.36,red,paddy,38,0,4,28-28
25.42,55.67,20,loamy,tobacco,8,0,41,urea
36.08,58.63,55.26,black,cotton,19,0,37,10-26-26
32.87,55.38,34.81,loamy,maize,38,0,2,20-20
33.54,64.83,36.55,clayey,barley,6,7,31,10-26-26
24.47,48.83,63.87,clayey,pulses,9,0,9,urea
30.37,59.55,46.99,sandy,cotton,18,0,24,dap
34.67,56.47,33.94,black,cotton,20,0,22,14-35-14
30.85,62.67,70,loamy,maize,37,3,4,28-28
30.26,51.93,67.2,sandy,tobacco,15,0,42,urea
31.2,58.13,55.28,clayey,maize,1,19,12,20-20
30.08,70.01,35,clayey,sugarcane,22,0,17,20-20
30.41,57.18,58.29,red,paddy,7,5,27,28-28
29.58,55.83,32.4,sandy,sugarcane,45,1,2,17-17-17
24.66,51.66,45.41,black,wheat,25,0,25,14-35-14
33.91,67.92,38.66,black,oil seeds,9,0,7,17-17-17
26.95,47.7,20.39,clayey,ground nuts,10,3,13,17-17-17
26.25,56.03,69.41,sandy,sugarcane,7,7,16,10-26-26
26.88,54.41,28.3,clayey,maize,24,0,15,10-26-26
38.72,72.63,44.83,black,paddy,37,4,0,14-35-14
29.2,55.04,68.65,loamy,millets,2,9,33,20-20
24.84,54.15,44.72,clayey,maize,37,3,4,10-26-26
31.87,61.74,41.71,sandy,sugarcane,8,1,10,urea
33.22,55.48,63.02,red,tobacco,7,6,34,28-28
33.82,72.77,45.9,sandy,paddy,17,0,12,17-17-17
40,66.66,43.95,black,millets,39,0,0,28-28
23.32,51.38,36.32,clayey,paddy,11,0,40,20-20
35.87,59.89,50.2,clayey,pulses,1,16,19,14-35-14
35.78,74.8,29.82,black,ground nuts,8,4,13,28-28
28.48,54.42,23.99,red,maize,8,4,27,20-20
26.58,48.73,49.63,loamy,tobacco,25,1,24,dap
26.2,54.23,41.59,red,oil seeds,0,14,14,20-20
33.25,59.02,58.34,black,tobacco,14,0,31,14-35-14
32.1,66.19,31.38,clayey,paddy,44,0,0,28-28
21.71,58.45,32.63,sandy,pulses,18,0,20,14-35-14
37.74,72.77,41.36,clayey,pulses,4,12,33,17-17-17
40,74.04,47.46,black,cotton,41,4,3,dap
26.52,54.16,39.44,clayey,tobacco,12,0,10,10-26-26
31.34,61.15,61.58,black,pulses,8,0,8,10-26-26
26.47,52.11,39.99,black,sugarcane,10,2,9,dap
25.28,45.69,24.19,loamy,sugarcane,38,0,0,17-17-17
31.12,58.29,37.01,clayey,ground nuts,8,9,30,urea
27.26,62.29,46.78,sandy,paddy,22,4,19,10-26-26
24.52,45.6,63.28,red,tobacco,40,0,2,urea
35.75,63.57,38.89,loamy,barley,36,0,1,28-28
25.55,63.42,27.81,loamy,paddy,5,17,14,dap
30.84,63.15,54.37,black,tobacco,22,1,19,20-20
28.63,52.84,34.25,clayey,maize,21,4,18,14-35-14
32.94,72.52,37.15,sandy,barley,10,0,41,17-17-17
37.38,69.43,42.68,loamy,oil seeds,38,0,0,14-35-14
22.27,40.25,63.8,clayey,sugarcane,12,2,11,10-26-26
25.84,44.81,44.37,red,oil seeds,9,5,24,dap
33.02,49.45,31.28,black,barley,15,0,38,10-26-26
30.45,57.02,53.78,sandy,sugarcane,13,3,35,17-17-17
37.66,55.23,31.77,clayey,maize,12,4,41,17-17-17
34.19,63.11,35.01,clayey,cotton,14,2,40,urea
32.13,55.38,43.65,black,sugarcane,23,0,16,urea
36.31,62.76,31.8,sandy,wheat,33,0,0,20-20
30,48.39,24.07,clayey,maize,8,0,41,14-35-14
32.96,52.26,42.35,clayey,tobacco,17,0,4,dap
30.6,52.99,29.12,sandy,oil seeds,24,0,25,17-17-17
23.83,52.78,20,black,pulses,4,14,34,20-20
23.74,48.91,62.89,sandy,paddy,8,14,13,28-28
22.61,51.15,40.5,sandy,barley,38,0,0,urea
22.26,58.83,33.35,red,millets,23,0,26,10-26-26
27.42,50.44,30.86,loamy,millets,15,3,9,10-26-26
32.38,55.82,40.91,sandy,oil seeds,8,9,17,dap
32.77,60.55,61.77,clayey,sugarcane,3,10,28,20-20
28.08,58.59,44.33,red,millets,24,3,20,14-35-14
38.07,67.05,32.47,sandy,wheat,14,0,35,20-20
25.38,57.54,70,black,barley,36,0,0,urea
26.79,43.38,41.56,clayey,oil seeds,24,3,23,urea
22.05,52.83,36.27,red,sugarcane,14,4,45,20-20
31.02,47.08,52.83,loamy,pulses,9,3,25,20-20
28.97,59.7,23.81,loamy,oil seeds,39,2,3,28-28
29.42,56.7,47.96,black,maize,39,0,0,10-26-26
29.51,56.65,41.98,loamy,millets,22,0,28,dap
25.84,57.48,40.97,red,pulses,5,7,32,10-26-26
35.66,53.57,31.42,sandy,ground nuts,43,0,3,17-17-17
30.28,53.79,45.41,black,ground nuts,14,6,24,dap
33.46,60.18,43.06,black,maize,21,0,20,17-17-17
22.05,46.19,28.77,clayey,ground nuts,16,0,15,28-28
40,67.16,44.64,sandy,cotton,36,1,0,14-35-14
35.64,57.39,53.46,loamy,cotton,7,12,10,urea
32,69.37,40.63,red,millets,9,0,11,14-35-14
28.35,55.27,47.18,loamy,barley,7,0,11,20-20
36.17,70.81,32.25,clayey,sugarcane,12,0,35,17-17-17
26.26,49.17,33.65,loamy,pulses,20,0,20,28-28
29.77,53.93,44.28,sandy,tobacco,15,4,37,dap
28.12,49.45,37.57,sandy,sugarcane,18,2,16,dap
31.84,54.29,26.55,loamy,paddy,42,0,3,20-20
34.76,56.86,47.11,red,wheat,16,4,6,urea
30.08,49.47,60.63,black,paddy,11,3,32,20-20
23,60.54,38.01,red,oil seeds,30,0,4,28-28
25.3,50.39,29.86,red,sugarcane,7,13,15,10-26-26
29.65,55.27,57.09,black,millets,8,4,36,14-35-14
28.53,57.4,65.78,clayey,wheat,13,0,6,17-17-17
23.52,62.06,63.73,red,wheat,13,2,16,dap
26.74,51.72,49.96,loamy,oil seeds,17,1,21,10-26-26
36.27,58.72,31.17,loamy,pulses,9,0,34,dap
30.8,59.23,32.46,clayey,ground nuts,8,19,11,28-28
34.33,61.6,35.53,clayey,maize,22,0,22,dap
25.38,61.44,49.36,sandy,wheat,43,0,3,dap
26.37,46.29,20,black,cotton,7,13,30,dap
35.61,69.21,45.08,clayey,sugarcane,26,0,17,10-26-26
26.38,57.12,57.3,sandy,barley,10,7,32,20-20
26.28,53.99,20,sandy,cotton,12,14,12,17-17-17
33.29,64.15,33.58,loamy,paddy,22,4,20,20-20
32.06,58.25,33.38,clayey,tobacco,9,8,33,10-26-26
39.4,57.28,40.19,black,tobacco,13,0,40,14-35-14
40,68.47,49.84,red,maize,18,0,38,10-26-26
38.66,61.44,26.03,black,pulses,10,0,36,urea
38.84,59.67,60.84,loamy,paddy,7,17,9,14-35-14
31.42,54.93,41.21,clayey,ground nuts,11,1,7,10-26-26
31.94,52.61,58.38,loamy,millets,16,0,8,urea
